epoch,loss,val_loss
0,5.764240565082783e-07,4.7928114605594366e-08
1,3.855450348445703e-07,2.64956080505757e-07
2,3.807395556742844e-07,5.026092372409795e-08
3,3.7546592385321914e-07,4.430599643723529e-08
4,3.7543307469974355e-07,1.38524265325947e-07
5,3.7307185194409163e-07,8.143578319366663e-08
6,3.714678241139774e-07,7.727797520317916e-08
7,3.699278189875974e-07,5.7033694297641265e-08
8,3.705863422353551e-07,1.240487592708368e-07
9,3.6303544635173683e-07,3.7756982117498696e-08
10,3.694168989072793e-07,1.1091962226183547e-07
11,3.659764332196051e-07,3.277166509835118e-08
12,3.620478755690942e-07,4.100696840263098e-08
13,3.6365419451194986e-07,5.188206682708551e-07
14,3.6550580153950875e-07,8.794643374518419e-08
15,3.650324359359767e-07,2.8959090218186172e-08
16,3.679089366447024e-07,6.574427601979937e-08
17,3.6122711164596635e-07,8.60042573022513e-08
18,3.664164035663943e-07,5.5831102426359796e-08
19,3.5911626402328737e-07,2.798398839220517e-08
