epoch,loss,val_loss
0,1.6190056922515757e-07,1.5157371950694782e-08
1,1.1044560609635486e-07,2.1191001193083312e-08
2,1.086785316940174e-07,1.6581112800254005e-08
3,1.0832100674208517e-07,1.4469742520158902e-08
4,1.0717143287744156e-07,1.1994884550728273e-08
5,1.0715228037449695e-07,1.5784929426159418e-08
6,1.0633677069567023e-07,3.0275203731592746e-08
7,1.0583154492232665e-07,1.749669514556764e-08
8,1.0526305787522382e-07,1.2761158550239093e-08
9,1.0518854482787933e-07,3.2676575391713486e-08
10,1.0535761584516706e-07,1.1397421193314921e-08
11,1.0484516498511533e-07,2.839736118896378e-08
12,1.0464779684189396e-07,3.7433399919517103e-08
13,1.0438606573555064e-07,1.7581590890631804e-08
14,1.0378381935826331e-07,1.2480463957916012e-08
15,1.0383772853529011e-07,2.0137592765328695e-08
16,1.046366624880359e-07,2.445690960918275e-08
17,1.033364942496261e-07,4.3637773094205245e-08
18,1.0377802259771231e-07,3.262115567222955e-08
19,1.0350403755621783e-07,3.1365953365415505e-08
