epoch,loss,val_loss
0,1.0297529450075288e-06,1.8839724253200807e-07
1,8.638824329472396e-07,6.733869804081474e-08
2,8.419661095876648e-07,1.808029752676636e-07
3,8.429701970696878e-07,2.513611685475834e-07
4,8.300147250027782e-07,4.9087936366362094e-08
5,8.303100657903405e-07,1.381543329564114e-07
6,8.195363136102851e-07,4.735202925206334e-08
7,8.076830426777699e-07,1.3805816644716235e-07
8,8.154318216890634e-07,3.22965546927189e-07
9,8.120863280003586e-07,1.39523702833552e-07
10,8.163669305566707e-07,9.023860445260534e-08
11,8.195523698020217e-07,2.694519863026227e-07
12,8.200852724616478e-07,2.2393850885721367e-07
13,8.130470004403847e-07,1.5806652438678293e-07
14,8.029835174766493e-07,1.5851479882782983e-07
15,8.00637470819111e-07,3.9845961281325505e-08
16,8.043227037266727e-07,2.369306238177352e-07
17,8.019389336301928e-07,1.3412420220931855e-07
18,8.15362749006646e-07,4.6245261341660006e-08
19,8.098432099266914e-07,6.625883081347283e-08
20,7.960557516810703e-07,8.362975706692918e-08
21,7.956322032131117e-07,7.777837925790501e-08
22,7.986581698190545e-07,5.500224877534226e-08
23,7.992940900275857e-07,1.693594710015931e-07
24,8.067762506901615e-07,1.0953230559276725e-07
25,8.027282723305245e-07,4.8280973713853813e-08
26,7.921840650319277e-07,2.1030708790095832e-07
27,8.028971853761276e-07,1.2009464393397537e-07
28,8.019021369737464e-07,6.448524305408393e-08
29,7.956371234703828e-07,1.5916761374339287e-07
30,7.955621205017051e-07,8.175341830204759e-08
31,8.017123899518504e-07,1.1897493560702163e-07
32,7.950068695478647e-07,6.010428424774804e-08
33,7.935769707695194e-07,9.796397527006923e-08
34,7.952698562999509e-07,4.720099586529059e-08
35,7.888458787708326e-07,8.782704766347492e-08
36,7.951757987665757e-07,7.321026441278315e-08
37,7.931346015250644e-07,4.6486711442909606e-08
38,7.901038743752204e-07,1.1076820750831092e-07
39,7.859458822082619e-07,9.87275273152916e-08
40,7.900529272844538e-07,5.2007225587373786e-08
41,7.902938252422379e-07,9.237343850716614e-08
42,7.866927090946582e-07,4.0581562410949574e-08
43,7.899832794427629e-07,5.7376021648292595e-08
44,7.769735845513646e-07,5.258515289959518e-08
45,7.862680633564647e-07,4.9752305399327796e-08
46,7.911463272589535e-07,1.1249255689842276e-07
47,7.845648783457112e-07,6.322706535434563e-08
48,7.868709582752916e-07,4.202407151426338e-08
49,7.792819436025734e-07,5.996945493202142e-08
